,global/iteration_time,global/total_time,global/total_steps,global/payoff_0,global/payoff_1,global/total_payoff
0,0.05091428756713867,0.05091428756713867,1000,121.09320831298828,7.776912689208984,128.87012100219727
1,0.05171799659729004,0.10263228416442871,2000,122.14154052734375,7.931872367858887,130.07341289520264
2,0.05058741569519043,0.15321969985961914,3000,121.41168212890625,7.999276161193848,129.4109582901001
3,0.05136871337890625,0.2045884132385254,4000,127.52571105957031,8.763009071350098,136.2887201309204
4,0.05063772201538086,0.25522613525390625,5000,129.7138671875,9.116252899169922,138.83012008666992
5,0.05152702331542969,0.30675315856933594,6000,133.08963012695312,9.679539680480957,142.76916980743408
6,0.051505327224731445,0.3582584857940674,7000,132.38412475585938,9.56679916381836,141.95092391967773
7,0.050928592681884766,0.40918707847595215,8000,132.9486083984375,9.6555757522583,142.6041841506958
8,0.0516972541809082,0.46088433265686035,9000,136.5803985595703,10.269501686096191,146.8499002456665
9,0.050618886947631836,0.5115032196044922,10000,138.68728637695312,10.664519309997559,149.35180568695068
10,0.051802873611450195,0.5633060932159424,11000,141.0338897705078,11.096715927124023,152.13060569763184
11,0.05087614059448242,0.6141822338104248,12000,145.05633544921875,11.86552906036377,156.92186450958252
12,0.05183005332946777,0.6660122871398926,13000,144.35362243652344,11.728663444519043,156.08228588104248
13,0.05174612998962402,0.7177584171295166,14000,147.2538604736328,12.3014554977417,159.5553159713745
14,0.05089831352233887,0.7686567306518555,15000,149.1320037841797,12.583969116210938,161.71597290039062
15,0.05163168907165527,0.8202884197235107,16000,149.16616821289062,12.688637733459473,161.8548059463501
16,0.050786495208740234,0.871074914932251,17000,154.80050659179688,13.881450653076172,168.68195724487305
17,0.051798105239868164,0.9228730201721191,18000,153.59274291992188,13.631118774414062,167.22386169433594
18,0.05076408386230469,0.9736371040344238,19000,155.97030639648438,14.13881778717041,170.10912418365479
19,0.05184507369995117,1.025482177734375,20000,157.5185089111328,14.44594669342041,171.96445560455322
20,0.05148744583129883,1.0769696235656738,21000,157.72494506835938,14.531249046325684,172.25619411468506
21,0.05089855194091797,1.1278681755065918,22000,157.41305541992188,14.4609375,171.87399291992188
22,0.05186271667480469,1.1797308921813965,23000,159.21946716308594,14.87197494506836,174.0914421081543
23,0.05073428153991699,1.2304651737213135,24000,163.66810607910156,15.919678688049316,179.58778476715088
24,0.0515294075012207,1.2819945812225342,25000,166.1748504638672,16.53374481201172,182.7085952758789
25,0.051587581634521484,1.3335821628570557,26000,168.36004638671875,17.036855697631836,185.3969020843506
26,0.05083036422729492,1.3844125270843506,27000,170.0015106201172,17.504833221435547,187.50634384155273
27,0.051697731018066406,1.436110258102417,28000,169.59896850585938,17.400983810424805,186.99995231628418
28,0.0509181022644043,1.4870283603668213,29000,170.22801208496094,17.5639591217041,187.79197120666504
29,0.051781415939331055,1.5388097763061523,30000,170.99459838867188,17.764127731323242,188.75872611999512
30,0.05113935470581055,1.589949131011963,31000,171.82293701171875,17.98240852355957,189.80534553527832
31,0.05194497108459473,1.6418941020965576,32000,173.40789794921875,18.405736923217773,191.81363487243652
32,0.05175590515136719,1.6936500072479248,33000,174.71115112304688,18.759563446044922,193.4707145690918
33,0.05104851722717285,1.7446985244750977,34000,176.75473022460938,19.32492446899414,196.07965469360352
34,0.05179738998413086,1.7964959144592285,35000,177.54013061523438,19.545682907104492,197.08581352233887
35,0.0507967472076416,1.8472926616668701,36000,177.55982971191406,19.5512638092041,197.11109352111816
36,0.05169844627380371,1.8989911079406738,37000,179.029296875,19.96971893310547,198.99901580810547
37,0.051590919494628906,1.9505820274353027,38000,179.93165588378906,20.230152130126953,200.16180801391602
38,0.05113101005554199,2.0017130374908447,39000,180.79444885253906,20.481670379638672,201.27611923217773
39,0.05163407325744629,2.053347110748291,40000,182.3054656982422,20.92753791809082,203.233003616333
40,0.05088996887207031,2.1042370796203613,41000,186.53042602539062,22.15349006652832,208.68391609191895
41,0.05177593231201172,2.156013011932373,42000,189.6916046142578,23.22473907470703,212.91634368896484
42,0.050762176513671875,2.206775188446045,43000,189.74989318847656,23.243642807006836,212.9935359954834
43,0.05172586441040039,2.2585010528564453,44000,190.7124481201172,23.557716369628906,214.2701644897461
44,0.05162191390991211,2.3101229667663574,45000,191.50213623046875,23.80754280090332,215.30967903137207
45,0.05083799362182617,2.3609609603881836,46000,191.9474334716797,23.965837478637695,215.91327095031738
46,0.05172896385192871,2.4126899242401123,47000,193.51730346679688,24.49309539794922,218.0103988647461
47,0.05077719688415527,2.4634671211242676,48000,195.9963836669922,25.344968795776367,221.34135246276855
48,0.05173349380493164,2.515200614929199,49000,195.3485107421875,25.12042999267578,220.46894073486328
49,0.051481008529663086,2.5666816234588623,50000,195.81472778320312,25.282272338867188,221.0970001220703
50,0.051091909408569336,2.6177735328674316,51000,196.48191833496094,25.516433715820312,221.99835205078125
51,0.051687002182006836,2.6694605350494385,52000,198.8422393798828,26.355117797851562,225.19735717773438
52,0.051064491271972656,2.720525026321411,53000,200.11419677734375,26.817398071289062,226.9315948486328
53,0.051583051681518555,2.7721080780029297,54000,199.38754272460938,26.599143981933594,225.98668670654297
54,0.05135321617126465,2.8234612941741943,55000,200.44842529296875,26.93999671936035,227.3884220123291
55,0.05066418647766113,2.8741254806518555,56000,200.8565216064453,27.08665657043457,227.94317817687988
56,0.05137276649475098,2.9254982471466064,57000,201.45245361328125,27.311283111572266,228.76373672485352
57,0.05069756507873535,2.976195812225342,58000,201.60418701171875,27.368629455566406,228.97281646728516
